country,time,Confirmed,Newly Infected,Fatality,Growth Rate,latitude,longitude
australia,2020/01/22,0,0.0,0.0,0.0,-35.4735,149.0124
australia,2020/01/23,0,0.0,0.0,0.0,-35.4735,149.0124
australia,2020/01/24,0,10.0,0.0,0.0,-35.4735,149.0124
australia,2020/01/25,0,10.0,0.0,0.0,-35.4735,149.0124
australia,2020/01/26,0,10.0,0.0,0.0,-35.4735,149.0124
australia,2020/01/27,0,10.0,0.0,0.0,-35.4735,149.0124
australia,2020/01/28,0,10.0,0.0,0.0,-35.4735,149.0124
australia,2020/01/29,0,10.0,0.0,0.0,-35.4735,149.0124
australia,2020/01/30,0,10.0,0.0,0.0,-35.4735,149.0124
australia,2020/01/31,0,10.0,0.0,0.0,-35.4735,149.0124
australia,2020/02/01,0,10.0,0.0,0.0,-35.4735,149.0124
australia,2020/02/02,0,10.0,0.0,0.0,-35.4735,149.0124
australia,2020/02/03,0,10.0,0.0,0.0,-35.4735,149.0124
australia,2020/02/04,0,10.0,0.0,0.0,-35.4735,149.0124
australia,2020/02/05,0,10.0,0.0,0.0,-35.4735,149.0124
australia,2020/02/06,0,10.0,0.0,0.0,-35.4735,149.0124
australia,2020/02/07,0,10.0,0.0,0.0,-35.4735,149.0124
australia,2020/02/08,0,10.0,0.0,0.0,-35.4735,149.0124
australia,2020/02/09,0,10.0,0.0,0.0,-35.4735,149.0124
australia,2020/02/10,0,10.0,0.0,0.0,-35.4735,149.0124
australia,2020/02/11,0,10.0,0.0,0.0,-35.4735,149.0124
australia,2020/02/12,0,10.0,0.0,0.0,-35.4735,149.0124
australia,2020/02/13,0,10.0,0.0,0.0,-35.4735,149.0124
australia,2020/02/14,0,10.0,0.0,0.0,-35.4735,149.0124
australia,2020/02/15,0,10.0,0.0,0.0,-35.4735,149.0124
australia,2020/02/16,0,10.0,0.0,0.0,-35.4735,149.0124
australia,2020/02/17,0,10.0,0.0,0.0,-35.4735,149.0124
australia,2020/02/18,0,10.0,0.0,0.0,-35.4735,149.0124
australia,2020/02/19,0,10.0,0.0,0.0,-35.4735,149.0124
australia,2020/02/20,0,10.0,0.0,0.0,-35.4735,149.0124
australia,2020/02/21,0,10.0,0.0,0.0,-35.4735,149.0124
australia,2020/02/22,0,10.0,0.0,0.0,-35.4735,149.0124
australia,2020/02/23,0,10.0,0.0,0.0,-35.4735,149.0124
australia,2020/02/24,0,10.0,0.0,0.0,-35.4735,149.0124
australia,2020/02/25,0,10.0,0.0,0.0,-35.4735,149.0124
australia,2020/02/26,0,10.0,0.0,0.0,-35.4735,149.0124
australia,2020/02/27,0,10.0,0.0,0.0,-35.4735,149.0124
australia,2020/02/28,0,10.0,0.0,0.0,-35.4735,149.0124
australia,2020/02/29,0,10.0,0.0,0.0,-35.4735,149.0124
australia,2020/03/01,0,10.0,0.0,0.0,-35.4735,149.0124
australia,2020/03/02,0,10.0,0.0,0.0,-35.4735,149.0124
australia,2020/03/03,0,10.0,0.0,0.0,-35.4735,149.0124
australia,2020/03/04,0,10.0,0.0,0.0,-35.4735,149.0124
australia,2020/03/05,0,10.0,0.0,0.0,-35.4735,149.0124
australia,2020/03/06,0,10.0,0.0,0.0,-35.4735,149.0124
australia,2020/03/07,0,10.0,0.0,0.0,-35.4735,149.0124
australia,2020/03/08,0,10.0,0.0,0.0,-35.4735,149.0124
australia,2020/03/09,0,10.0,0.0,0.0,-35.4735,149.0124
australia,2020/03/10,0,10.0,0.0,0.0,-35.4735,149.0124
australia,2020/03/11,0,10.0,0.0,0.0,-35.4735,149.0124
australia,2020/03/12,0,10.0,0.0,0.0,-35.4735,149.0124
australia,2020/03/13,0,10.0,0.0,0.0,-35.4735,149.0124
australia,2020/03/14,0,10.0,0.0,0.0,-35.4735,149.0124
australia,2020/03/15,0,10.0,0.0,0.0,-35.4735,149.0124
australia,2020/03/16,0,10.0,0.0,0.0,-35.4735,149.0124
australia,2020/03/17,0,10.0,0.0,0.0,-35.4735,149.0124
australia,2020/03/18,568,10.0,0.01056338,0.0,-35.4735,149.0124
australia,2020/03/19,681,10.0,0.008810573,0.0,-35.4735,149.0124
australia,2020/03/20,791,31.0,0.008849558,0.0,-35.4735,149.0124
australia,2020/03/21,1071,60.0,0.006535948,23.81510429,-35.4735,149.0124
australia,2020/03/22,1549,93.0,0.004519045,32.06071083,-35.4735,149.0124
australia,2020/03/23,1682,95.0,0.004161712,29.53853351,-35.4735,149.0124
australia,2020/03/24,2044,102.0,0.003913894,24.91312269,-35.4735,149.0124
australia,2020/03/25,2364,89.0,0.003384095,15.25458652,-35.4735,149.0124
australia,2020/03/26,2810,115.0,0.004626335,18.68130106,-35.4735,149.0124
australia,2020/03/27,3143,112.0,0.004136176,15.45747979,-35.4735,149.0124
australia,2020/03/28,3640,127.0,0.003846154,15.50992655,-35.4735,149.0124
australia,2020/03/29,3984,119.0,0.004016064,12.37133362,-35.4735,149.0124
australia,2020/03/30,4361,122.0,0.003898188,11.57543948,-35.4735,149.0124
australia,2020/03/31,4559,97.0,0.003948234,7.817881307,-35.4735,149.0124
australia,2020/04/01,4862,94.0,0.004113534,6.88309627,-35.4735,149.0124
australia,2020/04/02,5116,83.0,0.004691165,5.470208327,-35.4735,149.0124
australia,2020/04/03,5330,85.0,0.005253283,5.351112451,-35.4735,149.0124
australia,2020/04/04,5550,77.0,0.005405405,4.511574249,-35.4735,149.0124
australia,2020/04/05,5687,67.0,0.006154387,3.593001213,-35.4735,149.0124
australia,2020/04/06,5797,57.0,0.006900121,2.843428061,-35.4735,149.0124
australia,2020/04/07,5895,45.0,0.007633588,2.03107801,-35.4735,149.0124
australia,2020/04/08,6010,42.0,0.008319468,1.858523776,-35.4735,149.0124
australia,2020/04/09,6108,41.0,0.008349705,1.757316997,-35.4735,149.0124
australia,2020/04/10,6215,42.0,0.008688656,1.777740775,-35.4735,149.0124
australia,2020/04/11,6303,39.0,0.009043313,1.599448587,-35.4735,149.0124
australia,2020/04/12,6315,30.0,0.009501188,1.119371884,-35.4735,149.0124
australia,2020/04/13,6351,21.0,0.009604787,0.725461998,-35.4735,149.0124
australia,2020/04/14,6415,18.0,0.009664848,0.589390703,-35.4735,149.0124
australia,2020/04/15,6440,20.0,0.009782609,0.655832731,-35.4735,149.0124
australia,2020/04/16,6462,18.0,0.009749304,0.579680614,-35.4735,149.0124
australia,2020/04/17,6522,17.0,0.010119595,0.553277209,-35.4735,149.0124
australia,2020/04/18,6568,20.0,0.010200974,0.658475045,-35.4735,149.0124
australia,2020/04/19,6610,23.0,0.010136157,0.757758099,-35.4735,149.0124
australia,2020/04/20,6623,17.0,0.010116262,0.513813633,-35.4735,149.0124
australia,2020/04/21,6645,13.0,0.010082769,0.389437176,-35.4735,149.0124
australia,2020/04/22,6652,8.0,0.010072159,0.211396608,-35.4735,149.0124
australia,2020/04/23,6662,8.0,0.011257881,0.195949614,-35.4735,149.0124
australia,2020/04/24,6677,7.0,0.011831661,0.1602769,-35.4735,149.0124
australia,2020/04/25,6694,8.0,0.011951001,0.210031233,-35.4735,149.0124
australia,2020/04/26,6714,10.0,0.012362228,0.259512665,-35.4735,149.0124
australia,2020/04/27,6721,9.0,0.012349353,0.21921338,-35.4735,149.0124
australia,2020/04/28,6744,9.0,0.013196916,0.248415253,-35.4735,149.0124
australia,2020/04/29,6752,8.0,0.013477488,0.188364899,-35.4735,149.0124
australia,2020/04/30,6766,9.0,0.013745197,0.222726971,-35.4735,149.0124
australia,2020/05/01,6778,7.0,0.013720862,0.16777577,-35.4735,149.0124
australia,2020/05/02,6799,9.0,0.013825563,0.231509751,-35.4735,149.0124
australia,2020/05/03,6822,10.0,0.013925535,0.275156108,-35.4735,149.0124
australia,2020/05/04,6847,12.0,0.014020739,0.338190799,-35.4735,149.0124
australia,2020/05/05,6875,13.0,0.014109091,0.371228237,-35.4735,149.0124
australia,2020/05/06,6894,13.0,0.014070206,0.350587769,-35.4735,149.0124
australia,2020/05/07,6913,12.0,0.014031535,0.320301277,-35.4735,149.0124
australia,2020/05/08,6918,8.0,0.014021393,0.208097703,-35.4735,149.0124
australia,2020/05/09,6939,9.0,0.01397896,0.217161804,-35.4735,149.0124
australia,2020/05/10,6948,7.0,0.013960852,0.168528375,-35.4735,149.0124
australia,2020/05/11,6970,10.0,0.013916786,0.24996517,-35.4735,149.0124
australia,2020/05/12,6980,8.0,0.014040115,0.196603863,-35.4735,149.0124
australia,2020/05/13,6989,8.0,0.014022035,0.196349911,-35.4735,149.0124
australia,2020/05/14,7019,9.0,0.013962103,0.233885936,-35.4735,149.0124
australia,2020/05/15,7035,10.0,0.013930348,0.262046162,-35.4735,149.0124
australia,2020/05/16,7044,10.0,0.01391255,0.261710142,-35.4735,149.0124
australia,2020/05/17,7054,7.0,0.01403459,0.165949754,-35.4735,149.0124
australia,2020/05/18,7068,7.0,0.014006791,0.156121839,-35.4735,149.0124
australia,2020/05/19,7072,6.0,0.014140271,0.132342281,-35.4735,149.0124
australia,2020/05/20,7081,6.0,0.014122299,0.127441498,-35.4735,149.0124
australia,2020/05/21,7095,6.0,0.014235377,0.127189242,-35.4735,149.0124
australia,2020/05/22,7099,6.0,0.014227356,0.127117454,-35.4735,149.0124
australia,2020/05/23,7114,7.0,0.014337925,0.155129095,-35.4735,149.0124
australia,2020/05/24,7114,4.0,0.014337925,0.089225032,-35.4735,149.0124
australia,2020/05/25,7126,6.0,0.014313781,0.126659613,-35.4735,149.0124
australia,2020/05/26,7139,5.0,0.014427791,0.117037336,-35.4735,149.0124
australia,2020/05/27,7150,7.0,0.014405594,0.168398405,-35.4735,149.0124
australia,2020/05/28,7165,8.0,0.014375436,0.182101317,-35.4735,149.0124
australia,2020/05/29,7184,9.0,0.014337416,0.209683788,-35.4735,149.0124
australia,2020/05/30,7192,8.0,0.014321468,0.195442244,-35.4735,149.0124
australia,2020/05/31,7202,7.0,0.014301583,0.171859968,-35.4735,149.0124
australia,2020/06/01,7221,7.0,0.014125467,0.171405854,-35.4735,149.0124
australia,2020/06/02,7229,7.0,0.014109835,0.171215656,-35.4735,149.0124
australia,2020/06/03,7240,8.0,0.014088398,0.175589493,-35.4735,149.0124
australia,2020/06/04,7247,6.0,0.01407479,0.119879318,-35.4735,149.0124
australia,2020/06/05,7252,5.0,0.014065085,0.105948014,-35.4735,149.0124
australia,2020/06/06,7259,4.0,0.014051522,0.087401415,-35.4735,149.0124
australia,2020/06/07,7265,4.0,0.014039917,0.082725059,-35.4735,149.0124
australia,2020/06/08,7267,4.0,0.014036053,0.068903453,-35.4735,149.0124
australia,2020/06/09,7274,4.0,0.014022546,0.06883704,-35.4735,149.0124
australia,2020/06/10,7285,5.0,0.014001373,0.091692881,-35.4735,149.0124
australia,2020/06/11,7289,5.0,0.013993689,0.100818912,-35.4735,149.0124
australia,2020/06/12,7294,5.0,0.013984097,0.091575798,-35.4735,149.0124
australia,2020/06/13,7320,7.0,0.013934426,0.159987074,-35.4735,149.0124
